unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1.58E+12,04-01-2020 0:00,BTC/USDT,7341.6,7400,7269.21,7350.71,92586.03,6.78E+08,186349
1.58E+12,05-01-2020 0:00,BTC/USDT,7350.54,7495,7303,7354.36,117766,8.74E+08,238905
1.58E+12,06-01-2020 0:00,BTC/USDT,7354.36,7808.65,7345,7757.39,168150.3,1.27E+09,323625
1.58E+12,07-01-2020 0:00,BTC/USDT,7757.74,8215.33,7733,8152.49,280809.2,2.23E+09,526402
1.58E+12,08-01-2020 0:00,BTC/USDT,8150.9,8468.42,7870.11,8059.84,321225.1,2.64E+09,650971
1.58E+12,09-01-2020 0:00,BTC/USDT,8059.77,8060,7750.01,7818.59,187263.1,1.48E+09,362420
1.58E+12,10-01-2020 0:00,BTC/USDT,7817.91,8210.62,7670,8207.09,253783.9,2.01E+09,542054
1.58E+12,11-01-2020 0:00,BTC/USDT,8207.2,8292.19,8003.87,8020.56,164741.7,1.34E+09,354690
1.58E+12,12-01-2020 0:00,BTC/USDT,8020.58,8195,7956.28,8186.7,108630,8.81E+08,243290
1.58E+12,13-01-2020 00:00,BTC/USDT,8186.22,8200,8053.78,8113,74581.36,6.05E+08,184440
1.58E+12,14-01-2020 00:00,BTC/USDT,8112.99,8893,8109.02,8825,290778,2.50E+09,652920
1.58E+12,15-01-2020 00:00,BTC/USDT,8825,8921.2,8570.52,8825.3,237633.8,2.08E+09,435491
1.58E+12,16-01-2020 00:00,BTC/USDT,8825.35,8868.21,8596.25,8725.08,167959,1.46E+09,294579
1.58E+12,17-01-2020 00:00,BTC/USDT,8724.99,9039,8680,8918.72,205717.7,1.83E+09,390463
1.58E+12,18-01-2020 00:00,BTC/USDT,8918.73,8995,8816,8925,114708.7,1.02E+09,220520
1.58E+12,19-01-2020 00:00,BTC/USDT,8925,9205.3,8440.91,8705.85,225314.5,1.99E+09,444795
1.58E+12,20-01-2020 00:00,BTC/USDT,8705.98,8750.37,8526.06,8650,125161.7,1.08E+09,240897
1.58E+12,21-01-2020 00:00,BTC/USDT,8650,8790.1,8448.6,8742.43,107577.2,9.32E+08,200875
1.58E+12,22-01-2020 00:00,BTC/USDT,8742.78,8820,8585.85,8684.57,94305.5,8.20E+08,180455
1.58E+12,23-01-2020 00:00,BTC/USDT,8684.47,8694,8326,8409.6,163407.1,1.38E+09,335447
1.58E+12,24-01-2020 00:00,BTC/USDT,8410,8528,8247,8441.96,144785.4,1.22E+09,316370
1.58E+12,25-01-2020 00:00,BTC/USDT,8442.82,8455,8272,8344.64,96961.71,8.09E+08,186872
1.58E+12,26-01-2020 00:00,BTC/USDT,8344.37,8624.45,8300,8611.21,117898.9,9.99E+08,218347
1.58E+12,27-01-2020 00:00,BTC/USDT,8611.21,9015.48,8565,8913.61,172235.3,1.51E+09,359034
1.58E+12,28-01-2020 00:00,BTC/USDT,8913.61,9436.06,8905,9398.98,244467.5,2.22E+09,455985
1.58E+12,29-01-2020 00:00,BTC/USDT,9399.72,9460.52,9242,9311,169460.6,1.58E+09,338155
1.58E+12,30-01-2020 00:00,BTC/USDT,9311.23,9599,9210.42,9525.67,190137.5,1.79E+09,393732
1.58E+12,31-01-2020 00:00,BTC/USDT,9525.67,9550.72,9220,9364.51,146644,1.37E+09,266727
1.58E+12,01-02-2020 0:00,BTC/USDT,9364.5,9477.76,9306,9392.74,109040.3,1.02E+09,229569
1.58E+12,02-02-2020 0:00,BTC/USDT,9392.99,9489.92,9160.01,9338.2,148403,1.39E+09,285872
1.58E+12,03-02-2020 0:00,BTC/USDT,9340.49,9647.61,9250,9300.64,159049.4,1.49E+09,313233
1.58E+12,04-02-2020 0:00,BTC/USDT,9300.63,9368,9105,9198.35,147843.9,1.36E+09,282503
1.58E+12,05-02-2020 0:00,BTC/USDT,9198.32,9799.08,9179.88,9630,212311.7,2.01E+09,387332
1.58E+12,06-02-2020 0:00,BTC/USDT,9630,9884,9550,9778.12,200556.4,1.95E+09,366953
1.58E+12,07-02-2020 0:00,BTC/USDT,9777.97,9900,9736.66,9821.52,129740.8,1.27E+09,244078
1.58E+12,08-02-2020 0:00,BTC/USDT,9821.52,9956,9680.55,9906.43,129267.3,1.27E+09,238583
1.58E+12,09-02-2020 0:00,BTC/USDT,9906.09,10184.34,9892.15,10167.38,143407,1.45E+09,270733
1.58E+12,10-02-2020 0:00,BTC/USDT,10167.37,10213.56,9750,9865.56,184242.7,1.83E+09,333889
1.58E+12,11-02-2020 0:00,BTC/USDT,9865.56,10409.96,9729.36,10229.06,190119.8,1.91E+09,381836
1.58E+12,12-02-2020 0:00,BTC/USDT,10230.74,10479.98,10229.71,10339.99,159674.3,1.65E+09,336615
1.58E+12,13-02-2020 00:00,BTC/USDT,10339.64,10540,10101,10239.63,213052.7,2.19E+09,454247
1.58E+12,14-02-2020 00:00,BTC/USDT,10240.02,10390,10123.37,10356.82,130975.7,1.35E+09,267110
1.58E+12,15-02-2020 00:00,BTC/USDT,10356.27,10389.75,9752.3,9914.99,152146.1,1.53E+09,325934
1.58E+12,16-02-2020 00:00,BTC/USDT,9914.31,10060.45,9626.64,9921.86,141548,1.40E+09,321449
1.58E+12,17-02-2020 00:00,BTC/USDT,9921.87,9971,9461.89,9716,185338.2,1.80E+09,399493
1.58E+12,18-02-2020 00:00,BTC/USDT,9716,10270,9598,10174.32,166119.4,1.64E+09,398826
1.58E+12,19-02-2020 00:00,BTC/USDT,10174.53,10286,9293.07,9593.65,187495.9,1.86E+09,442535
