unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,pct_chagnge
1.63892E+12,44538,BTC/USDT,50577.2,51210.6,48533.33,50455.61,238229.88,11927549318,0.06
1.63884E+12,44537,BTC/USDT,50424.72,51929,50012,50577.2,224670.62,11455372239,0
1.63875E+12,44536,BTC/USDT,49373.83,50888,47000,50424.72,357711.03,17416560142,0
1.63866E+12,44535,BTC/USDT,49135.66,49699.49,47755,49376.6,286434.38,14016018237,-0.02
1.63858E+12,44534,BTC/USDT,53611.86,53889.69,40888.89,49135.66,598774.99,28876836072,0
1.63849E+12,44533,BTC/USDT,56513.56,57670,50604,53612,374132.02,20620928587,0.09
1.6384E+12,44532,BTC/USDT,57209.28,57428.49,55800,56513.57,249985.26,14156805566,0.05
1.63832E+12,44531,BTC/USDT,56978.06,59100,56500,57209.29,273959.1,15768296335,0.01
1.63823E+12,44530,BTC/USDT,57827.97,59224.99,55900,56975,337624.15,19388577718,0
1.63814E+12,44529,BTC/USDT,57315.72,58924.21,56715,57827.98,215111.47,12407120858,0.01
1.63806E+12,44528,BTC/USDT,54738.77,57474.76,53245,57315.73,213600.62,11739217937,-0.01
1.63797E+12,44527,BTC/USDT,53755.66,55300,53640.69,54738.77,155119.12,8478100940,-0.04
1.63788E+12,44526,BTC/USDT,58988.36,59186.41,53500,53755.65,378650.92,20945137180,-0.02
1.6378E+12,44525,BTC/USDT,57165.09,59449.62,57029,58988.21,191912.65,11190941838,0.1
1.63771E+12,44524,BTC/USDT,57574.24,57775.27,55900,57165.08,194683.76,11043276127,-0.03
1.63763E+12,44523,BTC/USDT,56268.31,57888,55250,57574.23,267790.33,15216816648,0.01
1.63754E+12,44522,BTC/USDT,58648.87,59624.56,55600,56268.31,326184.88,18717910073,-0.02
1.63745E+12,44521,BTC/USDT,59716.28,60052.82,58518.88,58661.39,143887.27,8509909812,0.04
1.63737E+12,44520,BTC/USDT,58069.52,59873.84,57372,59716.29,173697.34,10188245162,0.02
1.63728E+12,44519,BTC/USDT,56921.04,58333,55604,58069.51,245356.12,14001797580,-0.03
1.63719E+12,44518,BTC/USDT,60366.97,60999,56505.48,56921.05,412021.67,24129304003,-0.02
1.63711E+12,44517,BTC/USDT,60106.03,60848.85,58336.68,60366.96,287388.87,17181720173,0.06
1.63702E+12,44516,BTC/USDT,63654.49,63655.77,58397.14,60106.03,475025.71,28862014876,0
1.63693E+12,44515,BTC/USDT,65568.38,66395.05,63351.58,63654.49,210026.6,13656636971,0.06
1.63685E+12,44514,BTC/USDT,64426.99,65569.99,63640,65568.39,146424.7,9450438558,0.03
1.63676E+12,44513,BTC/USDT,64156.08,65073.24,63430.01,64427,124466.49,7984348166,-0.02
1.63668E+12,44512,BTC/USDT,64831.2,65500,62313,64156.08,264576.33,16915954847,0
1.63659E+12,44511,BTC/USDT,64920.13,65646.98,64147.12,64831.3,178279.28,11575850112,0.01
1.6365E+12,44510,BTC/USDT,67010.65,69198.7,62400.51,64920.13,347835.57,23147498979,0
